"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Teacher/Teacher.jsx", "JavaScript", 99, 0, 0, 0, 16, 115
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Teacher/TeacherStyles.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/Users/paulstevens/Developer/alchezoomy2-fe/src/hooks/snackBar/snackBar.jsx", "JavaScript", 29, 0, 0, 0, 8, 37
"/Users/paulstevens/Developer/alchezoomy2-fe/src/hooks/usePasswordMeter/passwordMeterStyles.js", "JavaScript", 11, 0, 0, 0, 2, 13
"/Users/paulstevens/Developer/alchezoomy2-fe/src/hooks/usePasswordMeter/returnPasswordLabel.js", "JavaScript", 28, 0, 0, 0, 2, 30
"/Users/paulstevens/Developer/alchezoomy2-fe/src/hooks/usePasswordMeter/usePasswordMeter.jsx", "JavaScript", 36, 0, 0, 0, 8, 44
"/Users/paulstevens/Developer/alchezoomy2-fe/src/index.css", "CSS", 0, 0, 12, 0, 2, 14
"/Users/paulstevens/Developer/alchezoomy2-fe/src/index.js", "JavaScript", 16, 0, 0, 3, 3, 22
"/Users/paulstevens/Developer/alchezoomy2-fe/src/logo.svg", "XML", 0, 7, 0, 0, 1, 8
"/Users/paulstevens/Developer/alchezoomy2-fe/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/paulstevens/Developer/alchezoomy2-fe/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/colors.js", "JavaScript", 2, 0, 0, 0, 0, 2
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/frames.js", "JavaScript", 32, 0, 0, 0, 3, 35
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/theme.js", "JavaScript", 27, 0, 0, 0, 0, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/temp.css", "CSS", 0, 0, 20, 0, 4, 24
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/StoreProvider.js", "JavaScript", 90, 0, 0, 1, 21, 112
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/auth-fetches.js", "JavaScript", 23, 0, 0, 0, 9, 32
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/s3-fetches.js", "JavaScript", 15, 0, 0, 0, 4, 19
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/student-fetches.js", "JavaScript", 14, 0, 0, 0, 7, 21
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/teacher-fetches.js", "JavaScript", 21, 0, 0, 0, 10, 31
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/auth-fetches.js", "JavaScript", 37, 0, 0, 0, 10, 47
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/bookmark-fetches.js", "JavaScript", 21, 0, 0, 0, 6, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/favorite-fetches.js", "JavaScript", 21, 0, 0, 0, 5, 26
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/meeting-fetches.js", "JavaScript", 14, 0, 0, 0, 4, 18
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/auth-fetches.js", "JavaScript", 30, 0, 0, 0, 12, 42
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/meeting-fetches.js", "JavaScript", 28, 0, 0, 0, 12, 40
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/subscription-fetches.js", "JavaScript", 24, 0, 0, 0, 6, 30
"Total", "-", 4857, 7, 32, 91, 684, 5671
